uid	username	nodes	cur nodes	ways	cur ways	relations	cur rels	first	last	days active	total edits	current objects	avg edits/day
367508	fazli	20	14	0	0	9	0	11/05/2010	11/05/2010	1	29	14	29
58404	f00t	11	5	18	10	0	0	08/12/2008	07/15/2009	337	29	15	0.08605341246290801
136448	Juggler	16	5	13	12	0	0	06/17/2009	06/17/2009	1	29	17	29
7203	ToffeHoff	8	2	7	1	14	0	02/16/2009	05/30/2011	833	29	3	0.03481392557022809
55741	Mdri	0	0	0	0	28	0	01/19/2010	01/12/2011	358	28	0	0.0782122905027933
25596	Pim van den Broek	9	0	19	0	0	0	01/29/2008	01/29/2008	1	28	0	28
42123	Ropino	2	1	1	1	25	0	08/04/2008	03/27/2011	966	28	2	0.028985507246376812
228141	Jeroen van der Wal	21	17	7	5	0	0	02/02/2010	02/02/2010	1	28	22	28
499763	Maarten Admiraal	20	19	8	8	0	0	08/02/2011	08/02/2011	1	28	27	28
81199	christianf	22	18	6	4	0	0	09/28/2009	09/28/2009	1	28	22	28
189464	Cpl_Uhl	22	5	5	0	0	0	12/16/2009	12/16/2009	1	27	5	27
296331	_bp	26	26	1	1	0	0	09/18/2011	09/18/2011	1	27	27	27
445176	FrankBouwhuis	27	25	0	0	0	0	04/26/2011	04/27/2011	1	27	25	27
110263	werner2101	1	1	0	0	25	22	01/24/2010	01/21/2011	363	26	23	0.07162534435261708
47733	Jasper Hauser	17	8	8	2	0	0	06/25/2008	08/04/2010	771	25	10	0.0324254215304799
186601	JdH	0	0	0	0	25	0	11/15/2009	08/07/2011	631	25	0	0.039619651347068144
35598	ReLuc	0	0	0	0	25	0	07/24/2009	09/10/2009	49	25	0	0.5102040816326531
52921	t-i	0	0	2	0	23	0	09/06/2009	12/10/2010	461	25	0	0.05422993492407809
29061	KPG	24	12	0	0	1	0	12/07/2010	12/07/2010	1	25	12	25
31231	Andre68	6	1	5	0	13	0	09/17/2008	09/05/2010	718	24	1	0.033426183844011144
