uid	username	nodes	ways	relations	percentile
32889	Mariia	2	0	0	0.999782172038011
327541	otsf12	2	0	0	0.99978636103728
65148	tixuwuoz	2	0	0	0.999790550036549
163405	rappo11	2	0	0	0.9997947390358181
301475	kuechle	0	2	0	0.9997989280350871
229175	psexton42	2	0	0	0.9998031170343561
2160	Laurence	2	0	0	0.9998073060336251
69727	tromboman	2	0	0	0.9998114950328941
137017	xnon	2	0	0	0.9998156840321631
115365	methusalem	2	0	0	0.9998198730314322
502418	wichtel2007	2	0	0	0.9998240620307012
150405	Kevin Schumacher	2	0	0	0.9998282510299702
97369	fcrump	1	1	0	0.9998324400292392
421239	ou812	2	0	0	0.9998366290285082
58305	fiveisalive	0	1	0	0.9998387235281427
107268	musicnut21	1	0	0	0.9998408180277772
189542	ToM	1	0	0	0.9998429125274118
37548	Marcussacapuces91	1	0	0	0.9998450070270463
391552	corvus6775	1	0	0	0.9998471015266808
502779	Bigmikelakers	0	1	0	0.9998491960263153
25392	brownknight	1	0	0	0.9998512905259498
7591	sadam	1	0	0	0.9998533850255843
17490	Adam Geitgey	1	0	0	0.9998554795252188
399973	danaM	1	0	0	0.9998575740248533
22949	CA Steve	1	0	0	0.9998596685244878
109570	Vincent Broman	1	0	0	0.9998617630241223
12055	aude	1	0	0	0.9998638575237568
504337	emanuelpleitez	1	0	0	0.9998659520233913
468200	DragonBallzDeep	0	0	1	0.9998680465230259
389395	quixotemancha	1	0	0	0.9998701410226604
28269	Pierre-Alain Dorange	1	0	0	0.9998722355222949
270753	Groovologist	1	0	0	0.9998743300219294
10927	Skywave	0	1	0	0.9998764245215639
507437	sidfinch	0	1	0	0.9998785190211984
124837	swus	1	0	0	0.9998806135208329
168988	Pink	1	0	0	0.9998827080204674
171556	Bob Vandehey	1	0	0	0.9998848025201019
317069	phuang	1	0	0	0.9998868970197364
73587	DevL	1	0	0	0.9998889915193709
204154	mymoto	1	0	0	0.9998910860190054
479027	teacherhaywood	0	1	0	0.99989318051864
480716	Trulli	1	0	0	0.9998952750182745
128752	DoctorSoong	1	0	0	0.999897369517909
496099	EmergentProperty	1	0	0	0.9998994640175435
226159	michael_kirk	1	0	0	0.999901558517178
187402	andfaoro	1	0	0	0.9999036530168125
193314	mdroads	0	1	0	0.999905747516447
354372	parviizz	1	0	0	0.9999078420160815
170672	1248	1	0	0	0.999909936515716
189105	Redbox	1	0	0	0.9999120310153505
64578	Serpens	0	1	0	0.9999141255149852
294552	ZMWandelaar	0	1	0	0.9999162200146197
269330	VBH	1	0	0	0.9999183145142542
51357	Tomato72	1	0	0	0.9999204090138887
110263	werner2101	0	1	0	0.9999225035135232
466437	peterozumurray	0	1	0	0.9999245980131577
286977	Shoot	1	0	0	0.9999266925127922
73405	ciclista	1	0	0	0.9999287870124267
37392	25or6to4	1	0	0	0.9999308815120612
83725	Vid the Kid	0	0	1	0.9999329760116957
185851	Nathan L	1	0	0	0.9999350705113302
143182	Staquille	1	0	0	0.9999371650109647
198701	MCM	0	1	0	0.9999392595105993
236412	dcs	1	0	0	0.9999413540102338
156135	Kenneth Pardue	1	0	0	0.9999434485098683
242869	MrCranky	1	0	0	0.9999455430095028
223643	nick29	1	0	0	0.9999476375091373
364	Edward	1	0	0	0.9999497320087718
1892	JLS	1	0	0	0.9999518265084063
287820	skaewingit	1	0	0	0.9999539210080408
259642	nobody1231234	0	0	1	0.9999560155076753
386187	joelms	0	1	0	0.9999581100073098
7412	mjulius	1	0	0	0.9999602045069443
274645	Kyung	1	0	0	0.9999622990065788
13308	Udo	1	0	0	0.9999643935062134
300490	Daniel T Map me	1	0	0	0.9999664880058479
289912	Alan Kline	1	0	0	0.9999685825054824
16527	jfkastner	1	0	0	0.9999706770051169
539378	izenon	1	0	0	0.9999727715047514
456899	incady	1	0	0	0.9999748660043859
83557	Esperanza36	0	1	0	0.9999769605040204
37812	spork3000	1	0	0	0.9999790550036549
262151	ToeBee	0	0	1	0.9999811495032894
394697	Degerlocher	0	1	0	0.9999832440029239
36569	Snoopy88	0	1	0	0.9999853385025584
160138	DanHomerick	0	0	1	0.999987433002193
329350	aeskreis	1	0	0	0.9999895275018275
166252	kunzyte	1	0	0	0.999991622001462
4499	Jochen Topf	0	1	0	0.9999937165010965
25669	Blaise	1	0	0	0.999995811000731
526344	eclipsechasers2	1	0	0	0.9999979055003655
